iter	Passed	Remaining
0	2	2270
1	4	2134
2	6	2066
3	7	1974
4	9	1928
5	11	1912
6	13	1897
7	15	1868
8	17	1890
9	19	1909
10	21	1919
11	23	1897
12	24	1872
13	26	1859
14	28	1848
15	29	1835
16	31	1823
17	33	1826
18	35	1827
19	37	1822
20	38	1812
21	40	1801
22	42	1793
23	43	1782
24	45	1776
25	47	1765
26	48	1758
27	50	1762
28	52	1764
29	54	1760
30	56	1753
31	57	1748
32	59	1742
33	61	1736
34	62	1728
35	64	1720
36	66	1720
37	68	1726
38	70	1726
39	71	1726
40	73	1725
41	75	1716
42	76	1708
43	78	1704
44	79	1696
45	81	1697
46	83	1701
47	85	1703
48	87	1699
49	89	1695
50	92	1721
51	94	1715
52	95	1707
53	97	1703
54	99	1708
55	101	1704
56	102	1700
57	104	1693
58	105	1690
59	107	1684
60	109	1679
61	110	1675
62	112	1673
63	114	1673
64	116	1673
65	118	1671
66	119	1669
67	121	1665
68	122	1659
69	124	1654
70	126	1652
71	128	1651
72	130	1653
73	132	1655
74	133	1651
75	135	1652
76	137	1651
77	139	1649
78	141	1644
79	142	1638
80	144	1636
81	146	1638
82	148	1638
83	149	1634
84	151	1629
85	153	1627
86	154	1622
87	156	1617
88	157	1613
89	159	1610
90	161	1610
91	162	1608
92	164	1604
93	166	1603
94	167	1599
95	169	1595
96	170	1591
97	172	1587
98	174	1584
99	175	1579
100	177	1576
101	178	1574
102	180	1573
103	182	1572
104	184	1571
105	186	1570
106	187	1566
107	189	1566
108	191	1563
109	193	1562
110	195	1563
111	196	1561
112	198	1558
113	200	1557
114	201	1554
115	203	1550
116	204	1546
117	206	1543
118	208	1540
119	209	1538
120	211	1537
121	213	1535
122	215	1534
123	216	1530
124	218	1526
125	219	1523
126	221	1519
127	222	1515
128	224	1512
129	225	1510
130	227	1507
131	228	1503
132	230	1499
133	231	1496
134	232	1492
135	234	1491
136	236	1488
137	237	1485
138	239	1482
139	240	1480
140	242	1478
141	244	1476
142	245	1473
143	247	1470
144	248	1467
145	250	1464
146	251	1461
147	253	1457
148	254	1454
149	256	1452
150	258	1451
151	259	1449
152	261	1446
153	262	1443
154	264	1439
155	265	1436
156	267	1433
157	268	1431
158	269	1428
159	271	1424
160	272	1422
161	274	1420
162	276	1419
163	278	1417
164	279	1415
165	281	1412
166	282	1409
167	284	1406
168	285	1404
169	287	1405
170	289	1404
171	291	1403
172	293	1400
173	294	1398
174	295	1395
175	297	1392
176	299	1390
177	300	1388
178	302	1385
179	303	1383
180	305	1381
181	306	1379
182	308	1378
183	310	1376
184	311	1373
185	313	1371
186	314	1368
187	316	1365
188	317	1362
189	319	1360
190	320	1357
191	322	1357
192	324	1355
193	325	1353
194	327	1350
195	328	1347
196	329	1344
197	331	1342
198	332	1339
199	334	1337
200	335	1334
201	337	1333
202	339	1332
203	340	1330
204	342	1328
205	343	1325
206	345	1323
207	346	1320
208	348	1319
209	350	1318
210	351	1315
211	353	1313
212	354	1311
213	356	1309
214	357	1307
215	359	1304
216	360	1301
217	362	1299
218	363	1297
219	365	1295
220	367	1293
221	368	1292
222	370	1290
223	372	1288
224	373	1287
225	375	1286
226	377	1284
227	378	1282
228	380	1279
229	381	1277
230	383	1275
231	384	1274
232	387	1275
233	389	1273
234	390	1271
235	392	1269
236	393	1267
237	395	1265
238	396	1263
239	398	1261
240	399	1259
241	401	1258
